bird,filename,RAlesion,PNN_remov,song_when,intro_notes,harm_stacks,FM_sweeps,other,song_length
Green36,G46_42540.28329336_6_19_7_52_9_song2.wav,1,#sham3,day 90,1,0,19,0,
Green36,G46_42540.28345458_6_19_7_52_25.wav,1,#sham3,day 90,4,0,14,0,
Green36,G46_42540.28356541_6_19_7_52_36.wav,1,#sham3,day 90,3,0,23,0,
Green32,G32_42323.31279743_11_15_8_41_19.wav,0,1,prelesion,2,5,3,6,
Green32,G32_42323.33717302_11_15_9_21_57.wav,0,1,prelesion,2,2,1,3,
Green32,G32_42323.33776999_11_15_9_22_56.wav,0,1,prelesion,1,4,2,6,
Green32,G32_42327.30944684_11_19_8_35_44.wav,0,1,prelesion,2,6,3,8,
Green32,G32_42327.30971867_11_19_8_36_11.wav,0,1,prelesion,1,4,2,6,
Green32,G32_42452.32014517_3_23_8_53_34.wav,0,1,day 90,0,3,1,5,
Green32,G32_42452.32076898_3_23_8_54_36_song1.wav,0,1,day 90,1,6,1,14,
Green32,G32_42452.32076898_3_23_8_54_36_song2.wav,0,1,day 90,0,9,0,7,
Green32,G32_42452.32146400_3_23_8_55_46.wav,0,1,day 90,0,13,0,12,
Green32,G32_42452.33147780_3_23_9_12_27.wav,0,1,day 90,0,9,0,6,
Green39,G39_42369.27028377_12_31_7_30_28.wav,1,1,prelesion,8,0,6,4,
Green39,G39_42369.27063395_12_31_7_31_3.wav,1,1,prelesion,5,0,6,4,
Green39,G39_42369.27372477_12_31_7_36_12.wav,1,1,prelesion,5,0,1,2,
Green39,G39_42369.27379945_12_31_7_36_19.wav,1,1,prelesion,5,0,6,4,
Green39,G39_42369.27390724_12_31_7_36_30_song1.wav,1,1,prelesion,4,0,1,2,
Green39,G39_42384.29992286_1_15_8_19_52_song1.wav,1,1,preinjection,6,1,2,1,
Green39,G39_42384.29992286_1_15_8_19_52_song2.wav,1,1,preinjection,4,0,4,4,
Green39,G39_42384.29992286_1_15_8_19_52_song3.wav,1,1,preinjection,5,0,4,6,
Green39,G39_42384.30008691_1_15_8_20_8.wav,1,1,preinjection,6,0,3,4,
Green39,G39_42384.30017488_1_15_8_20_17_song1.wav,1,1,preinjection,6,0,0,1,
Green39,G39_42474.26896237_4_14_7_28_16_song1.wav,1,1,day 90,3,10,8,3,
Green39,G39_42474.26896237_4_14_7_28_16_song2.wav,1,1,day 90,3,7,6,4,
Green39,G39_42474.26911323_4_14_7_28_31.wav,1,1,day 90,3,4,3,2,
Green39,G39_42474.28610737_4_14_7_56_50_song1.wav,1,1,day 90,3,8,7,4,
Green39,G39_42474.28610737_4_14_7_56_50_song2.wav,1,1,day 90,2,5,4,4,
Green27,Green27_42282.31853890_10_5_8_50_53.wav,0,2,prelesion,7,0,4,8,
Green27,Green27_42282.31888247_10_5_8_51_28.wav,0,2,prelesion,3,0,13,14,
Green27,Green27_42282.34592603_10_5_9_36_32.wav,0,2,prelesion,2,0,6,8,
Green27,Green27_42282.34601157_10_5_9_36_41.wav,0,2,prelesion,2,0,2,6,
Green27,Green27_42282.34609151_10_5_9_36_49.wav,0,2,prelesion,3,0,7,16,
Green27,Green27_42299.27340980_10_22_7_35_40.wav,0,2,preinjection,4,0,5,8,
Green27,Green27_42299.27371884_10_22_7_36_11.wav,0,2,preinjection,6,0,6,10,
Green27,Green27_42299.27408071_10_22_7_36_48.wav,0,2,preinjection,1,0,7,6,
Green27,Green27_42299.27425759_10_22_7_37_5.wav,0,2,preinjection,1,0,13,8,
Green27,Green27_42299.27482630_10_22_7_38_2.wav,0,2,preinjection,6,0,3,6,
Green27,G27_42390.29728428_1_21_8_15_28.wav,0,2,day 90,6,0,0,2,
Green27,G27_42390.29852571_1_21_8_17_32.wav,0,2,day 90,5,0,2,2,
Green27,G27_42390.29888886_1_21_8_18_8.wav,0,2,day 90,6,0,0,2,
